"Id_recorrido","duracion_recorrido","fecha_origen_recorrido","nombre_estacion_origen","long_estacion_origen","lat_estacion_origen","fecha_destino_recorrido","nombre_estacion_destino","long_estacion_destino","lat_estacion_destino","id_usuario","modelo_bicicleta","Género","fecha"
"14291819BAEcobici",367,2022-04-27 07:24:09,"036 - MAIPÚ",-58.3767677,-34.6045481,2022-04-27 07:30:16,"063 - Reconquista",-58.373062,-34.5986,"190114BAEcobici","ICONIC","FEMALE",2022-04-27
"15081949BAEcobici",1140,2022-07-29 01:26:23,"167 - Hipólito Yrigoyen",-58.427818,-34.614948,2022-07-29 01:45:23,"270 - PLAZA DEL ANGEL GRIS",-58.457555,-34.622003,"710955BAEcobici","ICONIC","MALE",2022-07-29
"13776615BAEcobici",1028,2022-03-10 15:54:03,"038 - Plaza Libertad",-58.3828403,-34.5970497,2022-03-10 16:11:11,"046 - Chile",-58.3743749,-34.6163012,"836210BAEcobici","FIT","OTHER",2022-03-10
"14412638BAEcobici",1815,2022-05-08 18:07:51,"051 - TUCUMAN",-58.3821261,-34.6014776,2022-05-08 18:38:06,"164 - FACULTAD DE INGENIERIA",-58.3698984,-34.617301,"859405BAEcobici","FIT","OTHER",2022-05-08
"14613712BAEcobici",1020,2022-05-31 12:19:33,"005 - Plaza Italia",-58.4209542,-34.5805497,2022-05-31 12:36:33,"064 - RIOBAMBA",-58.3941087,-34.5936508,"854203BAEcobici","FIT","MALE",2022-05-31
"14513813BAEcobici",1145,2022-05-18 23:22:11,"135 - MARCELO T. DE ALVEAR",-58.377535,-34.595125,2022-05-18 23:41:16,"086 - SAAVEDRA",-58.4016808,-34.6212681,"12509BAEcobici","FIT","OTHER",2022-05-18
"15258542BAEcobici",630,2022-08-16 17:49:05,"035 - INGENIERO BUTTY",-58.371847,-34.5964246,2022-08-16 17:59:35,"026 - JUANA MANSO I",-58.3638723,-34.600752,"18513BAEcobici","FIT","MALE",2022-08-16
"16159809BAEcobici",518,2022-11-02 07:46:19,"066 - Billinghurst",-58.4138713,-34.5945475,2022-11-02 07:54:57,"116 - HOSPITAL ALEMÁN",-58.4025894,-34.5921708,"587211BAEcobici","FIT","FEMALE",2022-11-02
"14246250BAEcobici",745,2022-04-22 00:54:22,"159 - Fitz Roy & Gorriti",-58.437339,-34.58495,2022-04-22 01:06:47,"160 - Godoy Cruz y Libertador",-58.420628,-34.572583,"16206BAEcobici","FIT","MALE",2022-04-22
"13983889BAEcobici",1673,2022-03-29 17:05:25,"021 - Parque Patricios",-58.406432,-34.640111,2022-03-29 17:33:18,"131- HOSPITAL DE CLÍNICAS",-58.3990158,-34.5984043,"740243BAEcobici","ICONIC","MALE",2022-03-29
"13901837BAEcobici",1272,2022-03-21 19:17:28,"390 - De Los Ombues",-58.4281,-34.5602,2022-03-21 19:38:40,"200 - AUSTRIA Y FRENCH",-58.4053617,-34.5890696,"49923BAEcobici","ICONIC","MALE",2022-03-21
"14803389BAEcobici",523,2022-06-23 16:21:28,"107 - HOSPITAL GARRAHAN",-58.395844,-34.63037718,2022-06-23 16:30:11,"184 - Pedro Echague",-58.3913419,-34.6306129,"868325BAEcobici","ICONIC","FEMALE",2022-06-23
"13495022BAEcobici",944,2022-02-10 11:10:58,"014 - Pacifico",-58.426387,-34.577424,2022-02-10 11:26:42,"059 - Coronel Diaz",-58.411493,-34.589968,"832778BAEcobici","ICONIC","MALE",2022-02-10
"15523321BAEcobici",546,2022-09-08 13:26:03,"075 - Plaza Primero de Mayo",-58.3989871,-34.6122976,2022-09-08 13:35:09,"131- HOSPITAL DE CLÍNICAS",-58.3990158,-34.5984043,"76125BAEcobici","FIT","MALE",2022-09-08
"14216404BAEcobici",594,2022-04-19 20:13:44,"125 - F.J.Santamaria de Oro",-58.428016,-34.583323,2022-04-19 20:23:38,"100 - Plaza Gurruchaga",-58.435187,-34.593141,"382893BAEcobici","FIT","FEMALE",2022-04-19
"13278368BAEcobici",1047,2022-01-17 20:52:59,"044 - Ecoparque",-58.4138829,-34.5755148,2022-01-17 21:10:26,"070 - ARAOZ",-58.4260597,-34.5926862,"516164BAEcobici","FIT","FEMALE",2022-01-17
"13626493BAEcobici",539,2022-02-23 08:55:59,"149 - LIMA",-58.3813642,-34.6153266,2022-02-23 09:04:58,"008 - Congreso",-58.3893364,-34.6094218,"805043BAEcobici","FIT","FEMALE",2022-02-23
"13499100BAEcobici",1017,2022-02-10 17:14:20,"346 - Plaza Zapiola",-58.474635,-34.573522,2022-02-10 17:31:17,"259 - PLAZA CASTELLI",-58.4645037,-34.5678255,"770045BAEcobici","FIT","FEMALE",2022-02-10
"15422387BAEcobici",872,2022-08-31 08:00:39,"373 - Jorgelina De Simone",-58.39125,-34.62393,2022-08-31 08:15:11,"036 - MAIPÚ",-58.3767677,-34.6045481,"81246BAEcobici","ICONIC","MALE",2022-08-31
"13833824BAEcobici",2024,2022-03-15 17:19:08,"168 - Estados Unidos",-58.3812271,-34.6186217,2022-03-15 17:52:52,"340 - PLAZA NUEVA POMPEYA",-58.415771,-34.6518464,"545477BAEcobici","FIT","FEMALE",2022-03-15
"13781228BAEcobici",907,2022-03-10 20:00:06,"182 - RAVIGNANI Y GUATEMALA",-58.4352466,-34.5780479,2022-03-10 20:15:13,"251 - Solar de la Abadía",-58.436752,-34.567633,"243794BAEcobici","ICONIC","FEMALE",2022-03-10
"15728735BAEcobici",1176,2022-09-26 11:34:37,"159 - Fitz Roy & Gorriti",-58.437339,-34.58495,2022-09-26 11:54:13,"182 - RAVIGNANI Y GUATEMALA",-58.4352466,-34.5780479,"163894BAEcobici","ICONIC","FEMALE",2022-09-26
"13262242BAEcobici",922,2022-01-14 20:05:13,"082 - HOSPITAL ITALIANO",-58.4263947,-34.6078917,2022-01-14 20:20:35,"065 - Julián Álvarez",-58.4157873,-34.5873124,"459258BAEcobici","FIT","MALE",2022-01-14
"14146018BAEcobici",1169,2022-04-12 15:34:17,"131- HOSPITAL DE CLÍNICAS",-58.3990158,-34.5984043,2022-04-12 15:53:46,"074 - INSTITUTO LELOIR",-58.43454,-34.60439,"814008BAEcobici","ICONIC","MALE",2022-04-12
"14478074BAEcobici",2045,2022-05-13 18:34:40,"352 - San Jose de Flores",-58.463297377,-34.62883578,2022-05-13 19:08:45,"352 - San Jose de Flores",-58.463297377,-34.62883578,"140450BAEcobici","ICONIC","MALE",2022-05-13
"16681915BAEcobici",2807,2022-12-18 20:59:34,"221 - CULPINA",-58.466143,-34.631705,2022-12-18 21:46:21,"302 - ESTACION VILLA LURO",-58.5013552581029,-34.6367093591787,"821983BAEcobici","ICONIC","MALE",2022-12-18
"15994644BAEcobici",805,2022-10-19 12:18:12,"066 - Billinghurst",-58.4138713,-34.5945475,2022-10-19 12:31:37,"064 - RIOBAMBA",-58.3941087,-34.5936508,"772188BAEcobici","ICONIC","FEMALE",2022-10-19
"14134191BAEcobici",1435,2022-04-11 18:06:09,"352 - San Jose de Flores",-58.463297377,-34.62883578,2022-04-11 18:30:04,"158 - VILLARROEL",-58.4450697,-34.592735,"670218BAEcobici","ICONIC","OTHER",2022-04-11
"14914959BAEcobici",1106,2022-07-07 16:15:58,"096 - Carlos Gardel",-58.4116586,-34.6027814,2022-07-07 16:34:24,"070 - ARAOZ",-58.4260597,-34.5926862,"866513BAEcobici","FIT","FEMALE",2022-07-07
"13344532BAEcobici",610,2022-01-26 10:39:09,"050 - Hospital Rivadavia",-58.4010798,-34.5837348,2022-01-26 10:49:19,"116 - HOSPITAL ALEMÁN",-58.4025894,-34.5921708,"172220BAEcobici","ICONIC","MALE",2022-01-26
"14051771BAEcobici",1507,2022-04-04 20:03:52,"044 - Ecoparque",-58.4138829,-34.5755148,2022-04-04 20:28:59,"083 - Paraná",-58.3893728,-34.603269,"827053BAEcobici","FIT","MALE",2022-04-04
"15641185BAEcobici",3087,2022-09-18 19:56:03,"128 - PARQUE DEL BAJO",-58.36882117,-34.60515159,2022-09-18 20:47:30,"063 - Reconquista",-58.373062,-34.5986,"853032BAEcobici","FIT","FEMALE",2022-09-18
"15445379BAEcobici",742,2022-09-01 20:12:21,"391 - Plaza República de Ecuador",-58.42062076,-34.56533652,2022-09-01 20:24:43,"251 - Solar de la Abadía",-58.436752,-34.567633,"685632BAEcobici","FIT","OTHER",2022-09-01
"14336309BAEcobici",1633,2022-05-01 15:16:26,"390 - De Los Ombues",-58.4281,-34.5602,2022-05-01 15:43:39,"390 - De Los Ombues",-58.4281,-34.5602,"734183BAEcobici","ICONIC","FEMALE",2022-05-01
"16430720BAEcobici",1816,2022-11-24 13:11:27,"104 - Federico Lacroze",-58.455212,-34.587617,2022-11-24 13:41:43,"025 - Plaza Guemes",-58.4161178,-34.5894269,"756181BAEcobici","ICONIC","FEMALE",2022-11-24
"15306551BAEcobici",1365,2022-08-21 14:29:52,"279 - PLAZA MONTE CASTRO",-58.4985253,-34.6182924,2022-08-21 14:52:37,"354 - José Martí",-58.463114,-34.6439,"881379BAEcobici","FIT","MALE",2022-08-21
"14027819BAEcobici",1099,2022-04-01 19:09:46,"172 - BRASIL",-58.371082,-34.625426,2022-04-01 19:28:05,"150 - RODRIGO BUENO",-58.3554654,-34.6187547,"493837BAEcobici","FIT","FEMALE",2022-04-01
"16485648BAEcobici",333,2022-11-29 13:01:36,"032 - Catedral",-58.3735984,-34.6072074,2022-11-29 13:07:09,"191 - Rivadavia y 9 de Julio",-58.3808358,-34.6079305,"362492BAEcobici","FIT","OTHER",2022-11-29
"13866328BAEcobici",1454,2022-03-17 18:03:21,"316 - Buenos Aires",-58.39666367,-34.645523264,2022-03-17 18:27:35,"316 - Buenos Aires",-58.39666367,-34.645523264,"784662BAEcobici","FIT","FEMALE",2022-03-17
"15121677BAEcobici",3175,2022-08-02 17:35:03,"360 - Plaza Ramon Falcon",-58.4825327,-34.6352784,2022-08-02 18:27:58,"397 - PARQUE SANTOJANNI",-58.5136448,-34.648402,"869598BAEcobici","ICONIC","MALE",2022-08-02
"13594768BAEcobici",1001,2022-02-20 16:16:55,"022 - Arenales",-58.3825498,-34.5938629,2022-02-20 16:33:36,"001 - FACULTAD DE DERECHO",-58.390602,-34.583749,"794977BAEcobici","FIT","FEMALE",2022-02-20
"16364281BAEcobici",841,2022-11-17 19:35:22,"147 - Constitución",-58.380707,-34.626851,2022-11-17 19:49:23,"150 - RODRIGO BUENO",-58.3554654,-34.6187547,"797595BAEcobici","ICONIC","FEMALE",2022-11-17
"15897235BAEcobici",1127,2022-10-11 07:41:59,"183 - VIRREY CEVALLOS",-58.3899728,-34.6156994,2022-10-11 08:00:46,"150 - RODRIGO BUENO",-58.3554654,-34.6187547,"717819BAEcobici","FIT","MALE",2022-10-11
"16067558BAEcobici",398,2022-10-25 13:16:48,"061 - Ministerio de Economia",-58.370716,-34.608936,2022-10-25 13:23:26,"010 - Madero UCA",-58.3656683,-34.6164879,"1444BAEcobici","FIT","FEMALE",2022-10-25
"14658645BAEcobici",1387,2022-06-05 19:41:44,"152 - JULIETA LANTERI",-58.3596311,-34.6181645,2022-06-05 20:04:51,"152 - JULIETA LANTERI",-58.3596311,-34.6181645,"749581BAEcobici","ICONIC","FEMALE",2022-06-05
"14430266BAEcobici",686,2022-05-10 08:35:11,"255 - BARRANCAS DE BELGRANO",-58.448314,-34.559801,2022-05-10 08:46:37,"227 -Club Ciudad de Buenos Aires",-58.459499,-34.544503,"784262BAEcobici","FIT","FEMALE",2022-05-10
"13257789BAEcobici",1099,2022-01-14 09:20:55,"012 - Plaza Vicente Lopez",-58.388807,-34.5927096,2022-01-14 09:39:14,"032 - Catedral",-58.3735984,-34.6072074,"818390BAEcobici","ICONIC","FEMALE",2022-01-14
"14872433BAEcobici",2141,2022-07-02 06:55:45,"005 - Plaza Italia",-58.4209542,-34.5805497,2022-07-02 07:31:26,"256 - PLAZA NORUEGA",-58.459289,-34.562277,"863433BAEcobici","ICONIC","MALE",2022-07-02
"14613404BAEcobici",2122,2022-05-31 11:49:10,"002 - Retiro I",-58.37470989,-34.59242413,2022-05-31 12:24:32,"292 - PLAZA BOLIVIA",-58.436115,-34.563539,"93915BAEcobici","ICONIC","FEMALE",2022-05-31
"15076437BAEcobici",1300,2022-07-28 15:01:40,"128 - PARQUE DEL BAJO",-58.36882117,-34.60515159,2022-07-28 15:23:20,"153 - JUAN MANUEL DE BLANES",-58.3620701,-34.6307765,"512227BAEcobici","FIT","FEMALE",2022-07-28
"15565798BAEcobici",433,2022-09-12 21:14:50,"161 - Humahuaca",-58.4196761,-34.6020779,2022-09-12 21:22:03,"025 - Plaza Guemes",-58.4161178,-34.5894269,"788748BAEcobici","ICONIC","MALE",2022-09-12
"13339966BAEcobici",538,2022-01-25 19:32:44,"083 - Paraná",-58.3893728,-34.603269,2022-01-25 19:41:42,"165 - PLAZA MONSEÑOR MIGUEL DE ANDREA",-58.407614,-34.597048,"738839BAEcobici","ICONIC","FEMALE",2022-01-25
"16503344BAEcobici",965,2022-11-30 18:03:39,"116 - HOSPITAL ALEMÁN",-58.4025894,-34.5921708,2022-11-30 18:19:44,"391 - Plaza República de Ecuador",-58.42062076,-34.56533652,"43175BAEcobici","ICONIC","MALE",2022-11-30
"14868689BAEcobici",854,2022-07-01 13:31:58,"251 - Solar de la Abadía",-58.436752,-34.567633,2022-07-01 13:46:12,"310 - FREIRE II",-58.4527561,-34.5751286,"767120BAEcobici","FIT","MALE",2022-07-01
"13777875BAEcobici",546,2022-03-10 17:07:38,"384 - PLAZA BENITO NAZAR",-58.445999589,-34.60511787,2022-03-10 17:16:44,"272 - Plaza Bruno Giordano",-58.440584,-34.616151,"683092BAEcobici","ICONIC","OTHER",2022-03-10
"16034054BAEcobici",1077,2022-10-22 11:39:47,"070 - ARAOZ",-58.4260597,-34.5926862,2022-10-22 11:57:44,"070 - ARAOZ",-58.4260597,-34.5926862,"861271BAEcobici","FIT","MALE",2022-10-22
"15560574BAEcobici",657,2022-09-12 16:30:14,"107 - HOSPITAL GARRAHAN",-58.395844,-34.63037718,2022-09-12 16:41:11,"183 - VIRREY CEVALLOS",-58.3899728,-34.6156994,"886398BAEcobici","ICONIC","MALE",2022-09-12
"15702508BAEcobici",422,2022-09-23 11:41:07,"178 - José Marmol",-58.424853,-34.6234,2022-09-23 11:48:09,"229 - RIGLOS",-58.435056,-34.631018,"51494BAEcobici","ICONIC","FEMALE",2022-09-23
"13646361BAEcobici",1825,2022-02-24 21:08:03,"240 - ECHEVERRIA",-58.459298,-34.565409,2022-02-24 21:38:28,"127 - PLAZA LEONARDO N. ALEM",-58.50248,-34.57634,"804675BAEcobici","ICONIC","MALE",2022-02-24
"15054819BAEcobici",803,2022-07-25 21:48:37,"174 - MINISTERIO DE EDUCACION",-58.391768,-34.597225,2022-07-25 22:02:00,"135 - MARCELO T. DE ALVEAR",-58.377535,-34.595125,"810514BAEcobici","FIT","MALE",2022-07-25
"15771475BAEcobici",486,2022-09-29 06:27:40,"075 - Plaza Primero de Mayo",-58.3989871,-34.6122976,2022-09-29 06:35:46,"120 - HOSPITAL RAMOS MEJIA",-58.4092876,-34.617509,"55394BAEcobici","ICONIC","MALE",2022-09-29
"16709388BAEcobici",546,2022-12-21 19:40:55,"352 - San Jose de Flores",-58.463297377,-34.62883578,2022-12-21 19:50:01,"206 - Galicia",-58.47098,-34.615945,"20794BAEcobici","ICONIC","FEMALE",2022-12-21
"15722160BAEcobici",1799,2022-09-25 15:56:20,"065 - Julián Álvarez",-58.4157873,-34.5873124,2022-09-25 16:26:19,"005 - Plaza Italia",-58.4209542,-34.5805497,"782845BAEcobici","ICONIC","FEMALE",2022-09-25
"14229887BAEcobici",1948,2022-04-20 19:41:11,"096 - Carlos Gardel",-58.4116586,-34.6027814,2022-04-20 20:13:39,"044 - Ecoparque",-58.4138829,-34.5755148,"847822BAEcobici","ICONIC","MALE",2022-04-20
"16520107BAEcobici",365,2022-12-02 00:16:58,"243 - PLAZOLETA CELEDONIO FLORES",-58.45153,-34.581576,2022-12-02 00:23:03,"104 - Federico Lacroze",-58.455212,-34.587617,"929240BAEcobici","FIT","MALE",2022-12-02
"13478185BAEcobici",560,2022-02-09 01:50:38,"009 - Parque Las Heras",-58.407741,-34.585443,2022-02-09 01:59:58,"066 - Billinghurst",-58.4138713,-34.5945475,"68316BAEcobici","FIT","MALE",2022-02-09
"13348118BAEcobici",897,2022-01-26 17:41:09,"287 - Belaustegui",-58.4772094734465,-34.6162121414803,2022-01-26 17:56:06,"213 - Hospital Alvear",-58.47421143,-34.5972098,"791611BAEcobici","ICONIC","MALE",2022-01-26
"13906824BAEcobici",3077,2022-03-22 09:11:59,"182 - RAVIGNANI Y GUATEMALA",-58.4352466,-34.5780479,2022-03-22 10:03:16,"251 - Solar de la Abadía",-58.436752,-34.567633,"645337BAEcobici","ICONIC","FEMALE",2022-03-22
"14827916BAEcobici",372,2022-06-27 16:07:28,"331 - CALIFORNIA",-58.374336,-34.647121,2022-06-27 16:13:40,"126 - Ministerio de Justicia y Seguridad",-58.3692243,-34.6402672,"318210BAEcobici","FIT","MALE",2022-06-27
"16174896BAEcobici",2452,2022-11-03 05:15:43,"370 - Beauchef",-58.43026,-34.640114,2022-11-03 05:56:35,"334 - CENTRO DE EXPOSICIONES",-58.389921,-34.584018,"13501BAEcobici","ICONIC","MALE",2022-11-03
"16260218BAEcobici",2783,2022-11-09 15:41:11,"093 - CARLOS CALVO",-58.3944635,-34.620798,2022-11-09 16:27:34,"346 - Plaza Zapiola",-58.474635,-34.573522,"765867BAEcobici","FIT","FEMALE",2022-11-09
"15827859BAEcobici",420,2022-10-04 06:49:11,"150 - RODRIGO BUENO",-58.3554654,-34.6187547,2022-10-04 06:56:11,"010 - Madero UCA",-58.3656683,-34.6164879,"824384BAEcobici","FIT","MALE",2022-10-04
"16378975BAEcobici",1446,2022-11-18 19:53:15,"097 - Avelino Diaz",-58.427573,-34.635128,2022-11-18 20:17:21,"229 - RIGLOS",-58.435056,-34.631018,"691347BAEcobici","ICONIC","MALE",2022-11-18
